1,Sueldo,Ingreso,,Activa,#3B82F6,"08/03/2026 19:52","08/03/2026 19:52"
2,Deudas,Ingreso,,Activa,#3B82F6,"08/03/2026 19:52","08/03/2026 19:52"
3,"Dinero Encontrado",Ingreso,,Activa,#3B82F6,"08/03/2026 19:53","08/03/2026 19:53"
4,Cachuelitos,Ingreso,,Activa,#3B82F6,"08/03/2026 19:54","08/03/2026 19:54"
5,Transporte,Egreso,,Activa,#3B82F6,"08/03/2026 19:54","08/03/2026 19:54"
6,Vivienda,Egreso,,Activa,#3B82F6,"08/03/2026 19:56","08/03/2026 19:56"
7,Servicios,Egreso,,Activa,#3B82F6,"08/03/2026 19:57","08/03/2026 19:57"
8,Alimentación,Egreso,,Activa,#3B82F6,"08/03/2026 19:57","08/03/2026 19:57"
10,Finanzas,Egreso,,Activa,#3B82F6,"08/03/2026 19:57","08/03/2026 19:57"
11,"Compras personales",Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
12,Entretenimiento,Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
13,Salud,Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
14,Educación,Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
15,"Regalos y donaciones",Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
16,Viajes,Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
17,"Otros gastos",Egreso,,Activa,#3B82F6,"08/03/2026 19:58","08/03/2026 19:58"
18,"Sporting Cristal",Egreso,,Activa,#3B82F6,"08/03/2026 20:00","08/03/2026 20:00"
