51,Abraham,CONFIGURACION,User,1,"Configuración del sistema actualizada",,127.0.0.1,"01/04/2026 20:36:44"
50,Abraham,CONFIGURACION,User,1,"Configuración del sistema actualizada",,127.0.0.1,"01/04/2026 20:36:07"
49,Abraham,EDITAR,Cuenta,5,"Cuenta actualizado: AFP","472.8, 1, 2026-04-01 20:32:09, 100",127.0.0.1,"01/04/2026 20:32:09"
48,Abraham,CREAR,Movimiento,49,"Nuevo movimiento: Alimentación",,127.0.0.1,"01/04/2026 20:24:43"
47,Abraham,CREAR,Movimiento,48,"Nuevo movimiento: Transporte",,127.0.0.1,"01/04/2026 20:24:04"
46,Abraham,CREAR,Movimiento,47,"Nuevo movimiento: Sueldo",,127.0.0.1,"01/04/2026 20:23:36"
45,Abraham,CREAR,Movimiento,46,"Nuevo movimiento: Sueldo",,127.0.0.1,"01/04/2026 20:23:10"
44,Abraham,CREAR,Movimiento,45,"Nuevo movimiento: Compras personales",,127.0.0.1,"01/04/2026 20:22:31"
43,Abraham,CREAR,Movimiento,44,"Nuevo movimiento: Alimentación",,127.0.0.1,"01/04/2026 20:21:16"
42,Abraham,CREAR,Movimiento,43,"Nuevo movimiento: Cachuelitos",,127.0.0.1,"01/04/2026 20:19:43"
41,Abraham,CREAR,Movimiento,42,"Nuevo movimiento: Alimentación",,127.0.0.1,"01/04/2026 20:19:15"
40,Abraham,CREAR,Movimiento,41,"Nuevo movimiento: Alimentación",,127.0.0.1,"01/04/2026 20:18:02"
39,Abraham,CREAR,Movimiento,40,"Nuevo movimiento: Transporte",,127.0.0.1,"01/04/2026 20:17:26"
38,Abraham,CREAR,Movimiento,39,"Nuevo movimiento: Deudas",,127.0.0.1,"31/03/2026 21:05:36"
37,Abraham,CREAR,Movimiento,38,"Nuevo movimiento: Alimentación",,127.0.0.1,"31/03/2026 21:05:14"
36,Abraham,CREAR,Movimiento,37,"Nuevo movimiento: Alimentación",,127.0.0.1,"31/03/2026 21:04:49"
35,Abraham,CREAR,Movimiento,36,"Nuevo movimiento: Transporte",,127.0.0.1,"31/03/2026 21:04:13"
34,Abraham,CREAR,Movimiento,35,"Nuevo movimiento: Alimentación",,127.0.0.1,"31/03/2026 21:03:43"
33,Abraham,CREAR,Movimiento,34,"Nuevo movimiento: Transporte",,127.0.0.1,"31/03/2026 21:02:52"
32,Abraham,CREAR,Movimiento,33,"Nuevo movimiento: Alimentación",,127.0.0.1,"30/03/2026 21:16:10"
31,Abraham,CREAR,Movimiento,32,"Nuevo movimiento: Transporte",,127.0.0.1,"30/03/2026 21:15:09"
30,Abraham,CREAR,Movimiento,31,"Nuevo movimiento: Alimentación",,127.0.0.1,"30/03/2026 21:14:39"
29,Abraham,CREAR,Movimiento,30,"Nuevo movimiento: Cachuelitos",,127.0.0.1,"30/03/2026 21:13:51"
28,Abraham,CREAR,Movimiento,29,"Nuevo movimiento: Alimentación",,127.0.0.1,"30/03/2026 21:13:22"
27,Abraham,CREAR,Movimiento,28,"Nuevo movimiento: Transporte",,127.0.0.1,"30/03/2026 21:11:15"
26,Abraham,CREAR,Movimiento,27,"Nuevo movimiento: Transporte",,127.0.0.1,"29/03/2026 19:19:16"
25,Abraham,CREAR,Movimiento,26,"Nuevo movimiento: Compras personales",,127.0.0.1,"29/03/2026 19:18:36"
24,Abraham,CREAR,Movimiento,25,"Nuevo movimiento: Sporting Cristal",,127.0.0.1,"29/03/2026 19:17:45"
23,Abraham,CREAR,Movimiento,24,"Nuevo movimiento: Transporte",,127.0.0.1,"29/03/2026 19:17:06"
22,Abraham,CREAR,Movimiento,23,"Nuevo movimiento: Entretenimiento",,127.0.0.1,"29/03/2026 15:05:24"
21,Abraham,CREAR,Movimiento,22,"Nuevo movimiento: Alimentación",,127.0.0.1,"29/03/2026 12:04:21"
20,Abraham,CREAR,Movimiento,21,"Nuevo movimiento: Alimentación",,127.0.0.1,"29/03/2026 11:57:00"
19,Abraham,CREAR,Movimiento,20,"Nuevo movimiento: Alimentación",,127.0.0.1,"28/03/2026 20:58:58"
18,Abraham,CREAR,Movimiento,19,"Nuevo movimiento: Alimentación",,127.0.0.1,"28/03/2026 18:00:23"
17,Abraham,CREAR,Movimiento,18,"Nuevo movimiento: Transporte",,127.0.0.1,"28/03/2026 17:59:45"
16,Abraham,CREAR,Movimiento,17,"Nuevo movimiento: Alimentación",,127.0.0.1,"28/03/2026 17:59:05"
15,Abraham,CREAR,Movimiento,16,"Nuevo movimiento: Transporte",,127.0.0.1,"28/03/2026 17:58:22"
14,Abraham,CREAR,Movimiento,15,"Nuevo movimiento: Alimentación",,127.0.0.1,"27/03/2026 21:23:36"
13,Abraham,CREAR,Movimiento,14,"Nuevo movimiento: Entretenimiento",,127.0.0.1,"27/03/2026 21:23:01"
12,Abraham,CREAR,Movimiento,13,"Nuevo movimiento: Sueldo",,127.0.0.1,"27/03/2026 21:22:19"
11,Abraham,CREAR,Movimiento,12,"Nuevo movimiento: Transporte",,127.0.0.1,"27/03/2026 21:21:31"
10,Abraham,CREAR,Movimiento,11,"Nuevo movimiento: Cachuelitos",,127.0.0.1,"27/03/2026 21:20:32"
9,Abraham,CREAR,Movimiento,10,"Nuevo movimiento: Alimentación",,127.0.0.1,"27/03/2026 21:20:05"
8,Abraham,CREAR,Movimiento,9,"Nuevo movimiento: Alimentación",,127.0.0.1,"27/03/2026 21:18:44"
7,Abraham,CREAR,Movimiento,7,"Nuevo movimiento: Alimentación",,127.0.0.1,"26/03/2026 20:09:52"
6,Abraham,CREAR,Movimiento,6,"Nuevo movimiento: Transporte",,127.0.0.1,"26/03/2026 20:07:11"
