49,01/04/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,4.00,,,No
48,01/04/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
47,01/04/2026,Ingreso,Sueldo,,"Cuenta Sueldo BCP",293.06,,,No
46,01/04/2026,Ingreso,Sueldo,,"Cuenta Sueldo BCP",8.52,,,No
45,01/04/2026,Egreso,"Compras personales","Artículos personales",Yape,1.50,,,No
44,01/04/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,1.50,,,No
43,01/04/2026,Ingreso,Cachuelitos,,Yape,2.70,,,No
42,01/04/2026,Egreso,Alimentación,"Chocolates / dulces",Efectivo,3.00,,,No
41,01/04/2026,Egreso,Alimentación,Cafeterías,Yape,3.00,,,No
40,01/04/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
39,31/03/2026,Ingreso,Deudas,,Yape,50.00,,,No
38,31/03/2026,Egreso,Alimentación,Restaurantes,"Cuenta Sueldo BCP",14.00,,,No
37,31/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,2.70,,,No
36,31/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
35,31/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,1.20,,,No
34,31/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
33,30/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,4.00,,,No
32,30/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
31,30/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,2.70,,,No
30,30/03/2026,Ingreso,Cachuelitos,,Yape,1.50,,,No
29,30/03/2026,Egreso,Alimentación,Cafeterías,Yape,2.00,,,No
28,30/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
27,29/03/2026,Egreso,Transporte,"Taxi / apps","Cuenta Sueldo BCP",10.00,,,No
26,29/03/2026,Egreso,"Compras personales",Accesorios,"Cuenta Sueldo BCP",69.90,,,No
25,29/03/2026,Egreso,"Sporting Cristal","Camisetas oficiales","Cuenta Sueldo BCP",279.00,,,No
24,29/03/2026,Egreso,Transporte,"Taxi / apps","Cuenta Sueldo BCP",8.00,,,No
23,29/03/2026,Egreso,Entretenimiento,Videojuegos,"Cuenta Sueldo BCP",5.04,,,No
22,29/03/2026,Egreso,Alimentación,Delivery,"Cuenta Sueldo BCP",21.50,,,No
21,29/03/2026,Egreso,Alimentación,Mercado,Yape,1.00,,,No
20,28/03/2026,Egreso,Alimentación,Delivery,"Cuenta Sueldo BCP",27.90,,,No
19,28/03/2026,Egreso,Alimentación,"Galletas / snacks dulces","Cuenta Sueldo BCP",5.90,,,No
18,28/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
17,28/03/2026,Egreso,Alimentación,Cafeterías,Yape,1.50,,,No
16,28/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
15,27/03/2026,Egreso,Alimentación,Supermercado,"Cuenta Sueldo BCP",12.80,,,No
14,27/03/2026,Egreso,Entretenimiento,Suscripciones,"Cuenta Sueldo BCP",23.60,,,No
13,27/03/2026,Ingreso,Sueldo,,"Cuenta Sueldo BCP",258.79,,,No
12,27/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
9,27/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,1.50,,,No
8,27/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
11,26/03/2026,Ingreso,Cachuelitos,,Yape,5.50,,,No
10,26/03/2026,Egreso,Alimentación,"Galletas / snacks dulces","Cuenta Sueldo BCP",5.50,,,No
7,26/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Efectivo,2.20,,,No
6,26/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
5,26/03/2026,Egreso,Alimentación,Cafeterías,"Cuenta Sueldo BCP",2.50,,,No
4,26/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
3,25/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
2,25/03/2026,Egreso,Alimentación,"Galletas / snacks dulces",Yape,3.00,,,No
1,25/03/2026,Egreso,Transporte,"Pasajes / transporte público",Efectivo,1.00,,,No
