1,Sueldo,ingreso,,#3b82f6,,1,"2026-03-08 19:52:15","2026-03-08 19:52:15"
2,Deudas,ingreso,,#3b82f6,,1,"2026-03-08 19:52:25","2026-03-08 19:52:25"
3,"Dinero Encontrado",ingreso,,#3b82f6,,1,"2026-03-08 19:53:19","2026-03-08 19:53:35"
4,Cachuelitos,ingreso,,#3b82f6,,1,"2026-03-08 19:54:05","2026-03-08 19:54:05"
5,Transporte,egreso,,#3b82f6,,1,"2026-03-08 19:54:39","2026-03-08 19:54:39"
6,Vivienda,egreso,,#3b82f6,,1,"2026-03-08 19:56:56","2026-03-08 19:56:56"
7,Servicios,egreso,,#3b82f6,,1,"2026-03-08 19:57:18","2026-03-08 19:57:18"
8,Alimentación,egreso,,#3b82f6,,1,"2026-03-08 19:57:27","2026-03-08 19:57:27"
10,Finanzas,egreso,,#3b82f6,,1,"2026-03-08 19:57:54","2026-03-08 19:57:54"
11,"Compras personales",egreso,,#3b82f6,,1,"2026-03-08 19:58:03","2026-03-08 19:58:03"
12,Entretenimiento,egreso,,#3b82f6,,1,"2026-03-08 19:58:13","2026-03-08 19:58:13"
13,Salud,egreso,,#3b82f6,,1,"2026-03-08 19:58:23","2026-03-08 19:58:23"
14,Educación,egreso,,#3b82f6,,1,"2026-03-08 19:58:30","2026-03-08 19:58:30"
15,"Regalos y donaciones",egreso,,#3b82f6,,1,"2026-03-08 19:58:41","2026-03-08 19:58:41"
16,Viajes,egreso,,#3b82f6,,1,"2026-03-08 19:58:49","2026-03-08 19:58:49"
17,"Otros gastos",egreso,,#3b82f6,,1,"2026-03-08 19:58:59","2026-03-08 19:58:59"
18,"Sporting Cristal",egreso,,#3b82f6,,1,"2026-03-08 20:00:52","2026-03-08 20:00:52"
