1,Vivienda,Alquiler,,Activa,"08/03/2026 20:09","08/03/2026 20:09"
2,Vivienda,"Mantenimiento del hogar",,Activa,"08/03/2026 20:09","08/03/2026 20:09"
3,Vivienda,Reparaciones,,Activa,"08/03/2026 20:09","08/03/2026 20:09"
4,Vivienda,Muebles,,Activa,"08/03/2026 20:09","08/03/2026 20:09"
5,Vivienda,Decoración,,Activa,"08/03/2026 20:09","08/03/2026 20:09"
6,Vivienda,"Servicios del hogar",,Activa,"08/03/2026 20:10","08/03/2026 20:10"
7,Servicios,Electricidad,,Activa,"08/03/2026 20:10","08/03/2026 20:10"
8,Servicios,Agua,,Activa,"08/03/2026 20:10","08/03/2026 20:10"
9,Servicios,Gas,,Activa,"08/03/2026 20:10","08/03/2026 20:10"
10,Servicios,Internet,,Activa,"08/03/2026 20:11","08/03/2026 20:11"
11,Servicios,"Cable / Streaming",,Activa,"08/03/2026 20:11","08/03/2026 20:11"
12,Servicios,"Telefonía móvil",,Activa,"08/03/2026 20:11","08/03/2026 20:11"
13,Alimentación,Supermercado,,Activa,"08/03/2026 20:13","08/03/2026 20:13"
14,Alimentación,Mercado,,Activa,"08/03/2026 20:13","08/03/2026 20:13"
15,Alimentación,Restaurantes,,Activa,"08/03/2026 20:13","08/03/2026 20:13"
16,Alimentación,"Comida rápida",,Activa,"08/03/2026 20:13","08/03/2026 20:13"
17,Alimentación,Cafeterías,,Activa,"08/03/2026 20:13","08/03/2026 20:13"
18,Alimentación,Delivery,,Activa,"08/03/2026 20:14","08/03/2026 20:14"
19,Alimentación,"Snacks / antojos",,Activa,"08/03/2026 20:14","08/03/2026 20:14"
20,Transporte,"Pasajes / transporte público",,Activa,"08/03/2026 20:16","08/03/2026 20:16"
21,Transporte,"Taxi / apps",,Activa,"08/03/2026 20:16","08/03/2026 20:16"
22,Transporte,Combustible,,Activa,"08/03/2026 20:16","08/03/2026 20:16"
23,Transporte,"Mantenimiento del vehículo",,Activa,"08/03/2026 20:17","08/03/2026 20:17"
24,Transporte,Estacionamiento,,Activa,"08/03/2026 20:17","08/03/2026 20:17"
25,Transporte,Peajes,,Activa,"08/03/2026 20:17","08/03/2026 20:17"
26,Finanzas,"Pago de deudas",,Activa,"08/03/2026 20:18","08/03/2026 20:18"
27,Finanzas,Intereses,,Activa,"08/03/2026 20:18","08/03/2026 20:18"
28,Finanzas,"Comisiones bancarias",,Activa,"08/03/2026 20:18","08/03/2026 20:18"
29,Finanzas,"Mantenimiento de cuenta",,Activa,"08/03/2026 20:19","08/03/2026 20:19"
30,Finanzas,Transferencias,,Activa,"08/03/2026 20:19","08/03/2026 20:19"
31,"Compras personales",Ropa,,Activa,"08/03/2026 20:20","08/03/2026 20:20"
32,"Compras personales",Calzado,,Activa,"08/03/2026 20:20","08/03/2026 20:20"
33,"Compras personales",Accesorios,,Activa,"08/03/2026 20:20","08/03/2026 20:20"
34,"Compras personales",Electrónica,,Activa,"08/03/2026 20:20","08/03/2026 20:20"
35,"Compras personales",Tecnología,,Activa,"08/03/2026 20:20","08/03/2026 20:20"
36,"Compras personales","Artículos personales",,Activa,"08/03/2026 20:20","08/03/2026 20:20"
37,Entretenimiento,Cine,,Activa,"08/03/2026 20:22","08/03/2026 20:22"
38,Entretenimiento,Videojuegos,,Activa,"08/03/2026 20:22","08/03/2026 20:22"
39,Entretenimiento,Suscripciones,,Activa,"08/03/2026 20:22","08/03/2026 20:22"
40,Entretenimiento,Salidas,,Activa,"08/03/2026 20:22","08/03/2026 20:22"
41,Entretenimiento,Eventos,,Activa,"08/03/2026 20:22","08/03/2026 20:22"
42,Entretenimiento,Streaming,,Activa,"08/03/2026 20:23","08/03/2026 20:23"
43,Salud,Medicinas,,Activa,"08/03/2026 20:23","08/03/2026 20:23"
44,Salud,"Consultas médicas",,Activa,"08/03/2026 20:23","08/03/2026 20:25"
45,Salud,Exámenes,,Activa,"08/03/2026 20:23","08/03/2026 20:23"
46,Salud,"Seguro médico",,Activa,"08/03/2026 20:23","08/03/2026 20:23"
47,Salud,Farmacia,,Activa,"08/03/2026 20:24","08/03/2026 20:24"
48,Educación,Cursos,,Activa,"08/03/2026 20:24","08/03/2026 20:24"
49,Educación,Certificaciones,,Activa,"08/03/2026 20:24","08/03/2026 20:24"
50,Educación,Matrículas,,Activa,"08/03/2026 20:24","08/03/2026 20:25"
51,Educación,"Pagos mensuales instituto",,Activa,"08/03/2026 20:26","08/03/2026 20:26"
52,"Regalos y donaciones",Regalos,,Activa,"08/03/2026 20:27","08/03/2026 20:27"
53,"Regalos y donaciones",Donaciones,,Activa,"08/03/2026 20:27","08/03/2026 20:27"
54,"Regalos y donaciones","Apoyo familiar",,Activa,"08/03/2026 20:27","08/03/2026 20:27"
55,"Regalos y donaciones","Apoyo a amigos",,Activa,"08/03/2026 20:28","08/03/2026 20:28"
56,Viajes,Pasajes,,Activa,"08/03/2026 20:28","08/03/2026 20:28"
57,Viajes,Hospedaje,,Activa,"08/03/2026 20:28","08/03/2026 20:28"
58,Viajes,"Alimentación en viaje",,Activa,"08/03/2026 20:28","08/03/2026 20:28"
59,Viajes,"Actividades turísticas",,Activa,"08/03/2026 20:28","08/03/2026 20:28"
60,"Otros gastos",Imprevistos,,Activa,"08/03/2026 20:29","08/03/2026 20:29"
61,"Otros gastos",Multas,,Activa,"08/03/2026 20:29","08/03/2026 20:29"
62,"Otros gastos","Reparaciones inesperadas",,Activa,"08/03/2026 20:29","08/03/2026 20:29"
63,"Otros gastos",Otros,,Activa,"08/03/2026 20:29","08/03/2026 20:29"
64,"Sporting Cristal",Entradas,,Activa,"08/03/2026 20:30","08/03/2026 20:30"
65,"Sporting Cristal","Camisetas oficiales",,Activa,"08/03/2026 20:30","08/03/2026 20:30"
